"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","PM2.5","Ozone"
2-11-20,"Linville Falls","Avery",35.972347,-81.933072,11,2,10,NA
2-11-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,11,2,27,NA
2-11-20,"Millbrook School","Wake",35.856111,-78.574167,11,2,36,22
2-11-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,11,2,16,NA
2-11-20,"West Johnston Co.","Johnston",35.59095,-78.4622,11,2,25.5,NA
2-12-20,"Bryson City","Swain",35.434767,-83.442133,12,2,11.5,NA
2-12-20,"Castle Hayne","New Hanover",34.364167,-77.838611,12,2,1,31
2-12-20,"Clemmons Middle","Forsyth",36.026,-80.342,12,2,14.5,NA
2-12-20,"Durham Armory","Durham",36.0329550008979,-78.904037,12,2,18,22
2-12-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,12,2,NA,45
2-12-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,12,2,10.3333333333333,21
2-12-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,12,2,13.5,NA
2-12-20,"Leggett","Edgecombe",35.988278,-77.5843,12,2,8,25
2-12-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,12,2,9,NA
2-12-20,"Millbrook School","Wake",35.856111,-78.574167,12,2,24.6666666666667,24.5
2-12-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,12,2,15.3333333333333,NA
2-12-20,"West Johnston Co.","Johnston",35.59095,-78.4622,12,2,14.5,NA
3-01-20,"Bryson City","Swain",35.434767,-83.442133,1,3,35,30.5
3-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,3,16,34
3-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,1,3,35.5,31.5
3-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,3,36.6666666666667,31
3-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,3,NA,39
3-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,3,26.5,27.5
3-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,3,25,32.5
3-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,3,27.5,29
3-01-20,"Linville Falls","Avery",35.972347,-81.933072,1,3,NA,33.5
3-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,3,26,33.5
3-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,3,39.75,30
3-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,3,27,30
3-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,3,35,29.5
3-02-20,"Bryson City","Swain",35.434767,-83.442133,2,3,19.5,37.5
3-02-20,"Castle Hayne","New Hanover",34.364167,-77.838611,2,3,8,35
3-02-20,"Clemmons Middle","Forsyth",36.026,-80.342,2,3,21.5,36.5
3-02-20,"Durham Armory","Durham",36.0329550008979,-78.904037,2,3,23.5,37.5
3-02-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,2,3,NA,43.5
3-02-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,3,18.3333333333333,34.5
3-02-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,2,3,15.5,36.5
